Control ID,Policy / Control,Objective,ISO/IEC 27001:2022,NIST CSF 2.0,PCI DSS v4.0.1,DPDP Act / Rules,GDPR,Evidence / Rationale,Status
AM-01,access-management,Least privilege and need-to-know; no wildcard permissions in production,"A.5.15, A.8.2",PR.AA-05,Req 7.2,Sec 8(5),-,Cross-ref: DC-03 (Restricted data access),Confirmed
AM-02,access-management,Formal written access requests with manager approval before provisioning,A.5.18,PR.AA-01,Req 7.2.2,-,Art 32,-,Confirmed
AM-03,access-management,Unique user IDs mandatory; shared/generic accounts prohibited,A.5.16,PR.AA-02,Req 8.2.1,Sec 8(5),-,Exception process references [Exception Log](#exception-log),Confirmed
AM-04,access-management,"MFA mandatory for VPN, CDE, cloud consoles, CI/CD; FIDO2/TOTP required; SMS OTP deprecated for privileged",A.8.5,PR.AA-03,"Req 8.4, 8.5",-,Art 32(1)(b),Cross-ref: PA-01 (authentication standards),Confirmed
AM-05,access-management,"Password standards: 14-char standard, 20-char privileged, 12-history, 10-attempt lockout, no default credentials, secrets in vault",A.5.17,PR.AA-02,"Req 8.3, 8.6",-,Art 32,Superseded in detail by PA policy; cross-ref PA-02–PA-06,Confirmed
AM-06,access-management,Quarterly recertification for CDE/production; semi-annual for corporate IT; revocation within 5 business days,A.5.18,PR.AA-05,"Req 7.2.4, 7.2.5",-,Art 5(1)(f),-,Confirmed
AM-07,access-management,"PAM: separate privileged accounts, JIT access, 12-month session recording, dual-control break-glass","A.5.18, A.8.2","PR.AA-05, PR.AA-06","Req 7.2.6, 8.2.2",-,Art 32,-,Confirmed
AM-08,access-management,"Account disable within 4 hrs (planned) / 1 hr (for-cause) of separation; revoke all sessions, tokens, keys","A.5.18, A.6.5",PR.AA-05,Req 8.3.4,Sec 8(5),-,Cross-ref: AS-08 (asset return),Confirmed
AM-09,access-management,"Third-party access: need-to-know, MFA, unique accounts, time-limited, revoked within 5 days of contract end","A.5.19, A.5.20","GV.SC-07, PR.AA-05","Req 8.2.1, 12.8",Sec 8(2),Art 28,Cross-ref: VR policy,Confirmed
AM-10,access-management,"Service accounts: unique identity, 90-day rotation, no interactive login, vault-only secrets, quarterly inventory","A.5.16, A.8.3","PR.AA-02, PR.AA-05",Req 8.6,-,Art 32,Cross-ref: PA-08 (service account auth),Confirmed
AU-01,acceptable-use,Business use primary; incidental personal use permissible within four stated conditions,A.5.10,GV.PO-02,Req 12.3.2,-,-,-,Confirmed
AU-02,acceptable-use,"Prohibits unauthorized data access/exfiltration, circumventing controls, unauthorized software, shadow IT, credential sharing, malicious code","A.5.10, A.8.1","PR.AT-01, PR.DS-05",Req 12.3,Sec 8(5),"Art 5, 32",Broad behavioural control,Confirmed
AU-03,acceptable-use,"Prohibits illegal content, financial fraud, personal commercial activity, harassment, identity misrepresentation","A.5.10, A.6.2",GV.PO-02,Req 12.1,-,-,Covers RBI/legal conduct obligations,Confirmed
AU-04,acceptable-use,"Internet browsing: no malicious sites, no untrusted downloads, approved browsers, VPN mandatory for remote, no unencrypted public Wi-Fi for production","A.8.1, A.8.23",PR.PS-01,Req 12.3,-,-,-,Confirmed
AU-05,acceptable-use,"Email/collaboration: use corporate accounts, report phishing, no PII/PAD forwarding, no secrets in Slack DMs","A.5.10, A.8.23",PR.AT-01,Req 12.6,Sec 8(5),Art 32,-,Confirmed
AU-06,acceptable-use,"Endpoint use: physical security, 5-min screen lock, 1-hr lost device reporting, no non-employee use, BYOD MDM enrolment","A.6.2, A.8.1",PR.PS-01,Req 12.3,-,-,Cross-ref: AS-04 (endpoint hardening),Confirmed
AU-07,acceptable-use,GenAI restrictions: no PII/PAD/source code in public AI tools; approved AI register; AI-generated code must pass security review,"A.5.10, A.8.1","GV.PO-02, PR.DS-05",Req 12.3,"Sec 6, 8","Art 5(1)(b), 25",FinNexus-specific fintech control; privacy-by-design angle,Confirmed
AU-08,acceptable-use,"Cloud storage: use only sanctioned buckets, encrypted external transfers, no public buckets, bulk exports logged","A.5.10, A.5.12","PR.DS-01, PR.DS-05",Req 9.4,Sec 8(5),"Art 5(1)(f), 32",Cross-ref: DC-03 (Restricted data storage),Confirmed
AU-09,acceptable-use,System monitoring disclosed; no employee expectation of privacy; monitoring governed by Employee Privacy Notice,"A.8.16, A.5.10",DE.CM-03,Req 10.1,Sec 6 (Consent),"Art 5, 6(1)(f)",DPDP Act consent transparency obligation,Confirmed
AU-10,acceptable-use,Obligation to report violations; non-retaliation policy; suspected breaches escalated to Legal/Compliance,"A.6.4, A.5.24",RS.CO-02,Req 12.1,Sec 8(6),Art 33,-,Confirmed
DC-01,data-classification-handling,All data must be classified at creation; ambiguous data defaults to Confidential; Public classification requires CISO approval,A.5.12,ID.AM-05,Req 9.4.2,Sec 8(5),Art 5(1)(f),Foundational control for DC policy,Confirmed
DC-02,data-classification-handling,"Restricted/Confidential data must carry classification labels in docs, email subjects, DB fields, and physical documents",A.5.13,PR.DS-01,Req 9.4.2,-,-,-,Confirmed
